DATUM OD;DATUM DO;NAZEV;MESTO;TYP;KATEGORIE;DISCIPLINY;PORADATEL;KLUB;KLUB CISLO;REGISTRACE DO;URL
03.03.2024;03.03.2024;Vrchlabsko - Trutnovská vzduchovková liga 2023 finále;Trutnov;2. kategorie;MuÏi, Ïeny, Dorostenci st., Veteráni;VzPi 60, VzPi 40;SSK  äkoda  Vrchlabí  ã. 0095;;;03.03.2024;https://shooting.cz/cs/souteze/2023-11-05-vrchlabsko-trutnovska-vzduchovkova-liga-2023-1-kolo-clone-508805-clone-983003-clone-600352-clone-106493
03.03.2024;03.03.2024;Zlatá diabolka + 54. roãník memoriálu Rudolfa Jocha a Eduarda Briskorina;Bﬁezolupy;2. kategorie;MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;;;386;28.02.2024;https://shooting.cz/cs/souteze/2024-03-03-zlata-diabolka-54-rocnik-memorialu-rudolfa-jocha-a-eduarda-briskorina
03.03.2024;03.03.2024;Karlovarská liga ñ vzduchová pistole 2023/2024 11.kolo;Bﬁezová;2. kategorie;Veteráni 65+ let, MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, Senioﬁi;VzPi 60, VzPi 40, VzPi 60 s oporou, VzPi 40 s oporou;Karlovarské krajské sdruÏení âSS;;;03.03.2024;https://shooting.cz/cs/souteze/2023-10-15-karlovarska-liga-vzduchova-pistole-2023-2024-1-kolo_clone_355894_clone_825015
09.03.2024;09.03.2024;Klatovsk˘ pohár 2023-2024 5.kolo;Dolany u Klatov;2. kategorie;éáci 13 a 14 let, éáci do 12 let;VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;SSK  0173 Klatovy  ;;;09.03.2024;https://shooting.cz/cs/souteze/2023-11-11-pohar-mladeze-ssk-klatovy-2023-2024-1-kolo-4
09.03.2024;10.03.2024;Mistrovství âR 2024 - Vzduchové zbranÏ;PlzeÀ;1. kategorie, Ïebﬁíãek, Sledovan˘;SH1, MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Senioﬁi, éáci;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF;âesk˘ stﬁeleck˘ svaz;;;26.02.2024;https://shooting.cz/cs/souteze/2024-03-08-m-cr-2024-plzen-vzduchove-zbrane
09.03.2024;09.03.2024;O putovní pohár SSK Roãov 20. roãník 4.kolo;Roãov;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;SSK â- 0899 Roãov;;;07.03.2024;https://shooting.cz/cs/souteze/2024-02-10-klon-o-putovni-pohar-ssk-rocov-20-rocnik-3-kolo
09.03.2024;09.03.2024;Slovanská elektronická pu‰ková liga 2023-2024 - Finále;PlzeÀ;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st.;VzPu 60 ISSF, VzPu 40 ISSF;SSK PlzeÀ ñ Slovany C-0015;;;09.03.2024;https://shooting.cz/cs/souteze/2024-03-09-slovanska-elektronicka-puskova-liga-2023-2024-finale
10.03.2024;10.03.2024;Jarní cena;Svitavy;2. kategorie;dorostenci ml., éáci 13 a 14 let, éáci do 12 let;VzPu 40 ISSF, VzPu 30 ISSF vleûe;SVâ Svitavy;;119;10.03.2024;https://shooting.cz/cs/souteze/2024-03-10-jarni-cena
10.03.2024;10.03.2024;Slovanská elektronická pistolová liga 2023-2024 - Finále;PlzeÀ;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st.;VzPi 60, VzPi 40;SSK PlzeÀ ñ Slovany C-0015;;;10.03.2024;https://shooting.cz/cs/souteze/2024-02-25-slovanska-elektronicka-pistolova-liga-2023-2024-finale
16.03.2024;16.03.2024;"Jarní cena - ""VyhánÏní pavouk˘""";Nová Paka;2. kategorie;MuÏi, Ïeny, Dorostenci st., Dorostenky st.;SM 30, LM 30;;;192;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-jarni-cena-vyhaneni-pavouku-1
16.03.2024;16.03.2024;Jarní perkus - Historické zbranÏ;Semily;2. kategorie;;PeRe, PeRe50m, KﬁPiC, PePiV, PePuV, KﬁPuV, Werndl;Michal Saska;;731;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-jarni-perkus-historicke-zbrane-1
16.03.2024;16.03.2024;Krajská stﬁelecká liga mládeûe Zlínského kraje 3.kolo;Uhersk˘ Ostroh;2. kategorie, Kraj;éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;;;210;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-krajska-strelecka-liga-mladeze-zlinskeho-kraje-3-kolo
16.03.2024;16.03.2024;Velikonoãní stﬁílení 15.roãník;Borek;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;;;301;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-velikonocni-strileni-15-rocnik-1
16.03.2024;17.03.2024;Sezemick˘ MAMLAS 2024 - Vzduchová pu‰ka a pistole 100 ran;Sezemice;3. kategorie;MuÏi, Ïeny;;;;253;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-sezemicky-mamlas-2024-vzduchova-puska-a-pistole-100-ran-1
16.03.2024;16.03.2024;Chomutovská vzduchovková extraliga 2023 - 2024 finále;Chomutov;;MuÏi, MuÏi, Ïeny, Junioﬁi, Dorostenci st., éáci 13 a 14 let, Veteráni;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;SSK Chomutov;;;15.10.2023;https://shooting.cz/cs/souteze/2023-10-15-chomutovska-vzduchovkova-extraliga-2023-2024-1-kolo-2023-7
16.03.2024;16.03.2024;Pohár Srdce Symfonie;Pátek u PodÏbrad;2. kategorie;;VzPu 30 ISSF vleûe;;;;16.03.2024;https://shooting.cz/cs/souteze/2024-03-16-pohar-srdce-symfonie
17.03.2024;17.03.2024;Jiﬁíkovská liga 2023/2024 4.kolo;Jiﬁíkov;2. kategorie;éáci do 10 let, MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;SSK Jiﬁíkov;;;17.03.2024;https://shooting.cz/cs/souteze/2023-11-11-jirikovska-liga-2023-2024-1-kolo-2
17.03.2024;17.03.2024;Karlovarská liga ñ vzduchová pistole 2023/2024 12.kolo;Bﬁezová;2. kategorie;Veteráni 65+ let, MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, Senioﬁi;VzPi 60, VzPi 40, VzPi 60 s oporou, VzPi 40 s oporou;Karlovarské krajské sdruÏení âSS;;;17.03.2024;https://shooting.cz/cs/souteze/2023-10-15-karlovarska-liga-vzduchova-pistole-2023-2024-1-kolo_clone_355894_clone_236980
17.03.2024;17.03.2024;Vzduchová sportka 2023/24 4.kolo;Chomutov;2. kategorie;MuÏi, Ïeny, Dorostenci st., Dorostenky st.;SpVzPi 30+30;SSK Chomutov I. , II. a IV.kolo, SSK Louny III. kolo;;;19.11.2023;https://shooting.cz/cs/souteze/2023-11-19-vzduchova-sportka-2023-24-1-kolo-2023-2
23.03.2024;23.03.2024;Jarní soutÏû z pﬁedovek 2024;OstromÏﬁ;2. kategorie;MuÏi;PePiC, PeRe, KﬁPiC, DPi, PePiV, PePuC, PePuV, KﬁPuC, Werndl;;;214;15.03.2024;https://shooting.cz/cs/souteze/2024-03-23-jarni-soutez-z-predovek-2024-1
23.03.2024;23.03.2024;Mistrovství âR 2024 vzduchová pu‰ka 30 ran vleûe;PlzeÀ;1. kategorie;éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPu 30 ISSF vleûe;âesk˘ stﬁeleck˘ svaz;;370;11.03.2024;https://shooting.cz/cs/souteze/2024-03-23-m-cr-2024-plzen-vzduchova-puska-30-ran-vleze
23.03.2024;24.03.2024;Mistrovství âR ze vzduchov˘ch vícerann˘ch zbraní 2024;Karviná;1. kategorie, Ïebﬁíãek;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st.;SpVzPi 30+30, StVzPi 3x20, RVzPi 2x30;âesk˘ stﬁeleck˘ svaz;;373;12.03.2024;https://shooting.cz/cs/souteze/2024-03-23-mistrovstvi-cr-ze-vzduchovych-vicerannych-zbrani-2024
24.03.2024;24.03.2024;Cena SVâ Svitavy 32. roãník;;2. kategorie;;VzPi 60, VzPi 40;SVâ Svitavy;;119;24.03.2024;https://shooting.cz/cs/souteze/2024-03-24-cena-svc-svitavi-32-rocnik
30.03.2024;30.03.2024;Jarní cena 19. roãník;Uhersk˘ Ostroh;2. kategorie;MuÏi;PePiC, PeRe, PeRe50m, KﬁPiC, DPi, PePuC, PePuV, KﬁPuC, DPu, PePuC100m, PePuV100m;;;210;30.03.2024;https://shooting.cz/cs/souteze/2024-03-30-jarni-cena-19-rocnik
30.03.2024;30.03.2024;Pohár mÏsta âernovic;âernovice;2. kategorie;éáci 13 a 14 let, éáci do 12 let;VzPu 30 ISSF vleûe;;;202;30.03.2024;https://shooting.cz/cs/souteze/2024-03-30-pohar-mesta-cernovic
31.03.2024;31.03.2024;Velikonoãní pistole;Nová paka;3. kategorie;MuÏi;VP 30+30;;;192;01.04.2024;https://shooting.cz/cs/souteze/2024-03-31-velikonocni-pistole
06.04.2024;06.04.2024;Dubnová otoãka;ChotÏboﬁ;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., dorostenci ml.;SP 30+30, VP 30+30;;;120;;https://shooting.cz/cs/souteze/2024-04-06-dubnova-otocka-1
06.04.2024;06.04.2024;MedvÏdí vstávání 2. roãník;PodÏbrady;3. kategorie;;;;;32;;https://shooting.cz/cs/souteze/2024-04-06
06.04.2024;06.04.2024;Memoriál stﬁelc˘ 2024;âepirohy;2. kategorie;MuÏi;PePiC, PeRe, KﬁPiC, PePiV, PePuC, PePuV, KﬁPuC, KﬁPuV;;;311;06.04.2024;https://shooting.cz/cs/souteze/2024-04-06-memorial-strelcu-2024
06.04.2024;06.04.2024;Memoriál Vladimíra Vávry;Semily;2. kategorie;;SP 30+30;Daniel Medek;;731;06.04.2024;https://shooting.cz/cs/souteze/2024-04-06-memorial-vladimira-vavry-1
06.04.2024;06.04.2024;PobÏûovická diabolka - 2.roãník;PobÏûovice;2. kategorie;éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;;;230;02.04.2024;https://shooting.cz/cs/souteze/2024-04-06-pobezovicka-diabolka-2-rocnik-1
07.04.2024;07.04.2024;Jarní cena Opavy;Opava;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st.;SM 3x20, SM 60, LM 3x20, LM 60 ISSF;;;4;04.04.2024;https://shooting.cz/cs/souteze/2024-04-07-jarni-cena-opavy-1
11.04.2024;22.04.2024;ISSF Final Olympic Qualification Championship Rifle & Pistol;Rio De Janeiro;repre-t˘my, Sledovan˘, SvÏt;MuÏi, Ïeny;VzPi 60, SP 30 míﬁená, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20;;;;;https://shooting.cz/cs/souteze/2024-04-11-issf-final-olympic-qualification-champions-rio-de-janeiro-clone-798006
13.04.2024;13.04.2024;Karlovarská liga LP60 1.kolo - Pohár hejtmana Karlovarského kraje;Lomnice u Sokolova;2. kategorie;MuÏi, Junioﬁi, Senioﬁi;LP 60;;;258;;https://shooting.cz/cs/souteze/2024-04-13-karlovarska-liga-lp60-1-kolo-pohar-hejtmana-karlovarskeho-kraje
14.04.2024;14.04.2024;Jarní cena SSK Pomezí - 32.roãník;Svitavy;2. kategorie;MuÏi, Ïeny;VzPi 60, VzPi 40;SVâ Svitavy;;119;06.04.2024;https://shooting.cz/cs/souteze/2024-04-14-jarni-cena-ssk-pomezi-32-rocnik-1
14.04.2024;14.04.2024;Krajská stﬁelecká liga mládeûe Zlínského kraje Finále;Nivnice;2. kategorie, Kraj;éáci 13 a 14 let, éákynÏ 13 a 14 let, éáci do 12 let, éákynÏ do 12 let;VzPu 30 ISSF vleûe, VzPu 30 ISSF vleûe s oporou;;;551;14.04.2024;https://shooting.cz/cs/souteze/2024-04-14-krajska-strelecka-liga-mladeze-zlinskeho-kraje-finale
14.04.2024;14.04.2024;Pohár starosty Lomnice LM,SM 60;Lomnice u Sokolova;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., Senioﬁi;SM 60, LM 60;;;258;14.04.2024;https://shooting.cz/cs/souteze/2024-04-14-pohar-starosty-lomnice-lm-sm-60-1
14.04.2024;14.04.2024;Pohár starosty Lomnice LM,SM 60;Sokolov;2. kategorie;MuÏi, Ïeny, Junioﬁi, Dorostenci st., Senioﬁi;SM 60, LM 60;;;258;14.04.2024;https://shooting.cz/cs/souteze/2024-04-14-pohar-starosty-lomnice-lm-sm-60-2
17.04.2024;17.04.2024;Fiala CUP 6.kolo;PlzeÀ;2. kategorie;MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let;VzPi 40, VzPi 40 s oporou;SSK Dukla PlzeÀ - ã. 0370 (1. - 3. kolo) ,SSK Policie Rapid PlzeÀ - ã. 0232 (4. ñ 6. kolo);;;19.03.2024;https://shooting.cz/cs/souteze/2023-10-11-fiala-cup-1-kolo-clone-464252
19.04.2024;21.04.2024;Kontrolní sledovan˘ závod 2024 1.kolo;PlzeÀ;1. kategorie, Ïebﬁíãek, Sledovan˘, Stát;MuÏi, Ïeny;LP 60, StP 3x20, VP 30+30, SM 60 ISSF, LM 60 ISSF;;;;;https://shooting.cz/cs/souteze/2024-04-19-kontrolni-sledovany-zavod-2024-1-kolo
19.04.2024;21.04.2024;Kontrolní závod reprezentace 2024 1.kolo;PlzeÀ;1. kategorie, Ïebﬁíãek, Sledovan˘, Stát;MuÏi, Ïeny;VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20;;;;;https://shooting.cz/cs/souteze/2024-04-19-kontrolni-zavod-reprezentace-2024-1-kolo
19.04.2024;21.04.2024;Oblastní stﬁelecká liga kule Karviná 2024 - 1. kolo;Karviná - Nové MÏsto;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.;SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15;;;373;19.04.2024;https://shooting.cz/cs/souteze/2024-04-19-oblastni-strelecka-liga-kule-karvina-2024-1-kolo-1
20.04.2024;20.04.2024;Aprílová sportka;Praha 9 HloubÏtín;3. kategorie;MuÏi, Ïeny;SP 30 míﬁená;;;121;18.04.2024;https://shooting.cz/cs/souteze/2024-04-20-aprilova-sportka
20.04.2024;20.04.2024;Karlovarská liga SP 30+30 1.kolo - Sokolovská sportka;Lomnice u Sokolova;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., Senioﬁi;SP 30+30;;;258;20.04.2024;https://shooting.cz/cs/souteze/2024-04-20-karlovarska-liga-sp-30-30-1-kolo-sokolovska-sportka-1
22.04.2024;01.05.2024;ISSF Final Olympic Qualification Championship Shotgun;Doha;repre-t˘my, Sledovan˘, SvÏt;MuÏi, Ïeny;Skeet, Trap;;;;;https://shooting.cz/cs/souteze/2024-04-22-issf-final-olympic-qualification-champions-doha
27.04.2024;27.04.2024;Jarní cena SSK ⁄jezd Sv.Kﬁíûe;⁄jezd Sv.Kﬁíûe;2. kategorie;MuÏi, Ïeny, Dorostenci st., Senioﬁi;SM 60, LM 60;;;230;25.04.2024;https://shooting.cz/cs/souteze/2024-04-27-jarni-cena-ssk-ujezd-sv-krize-1
27.04.2024;27.04.2024;Karlovarská liga SP 30+30 2.kolo / StP 3x20 1.kolo - Lomnická sportka;Lomnice u Sokolova;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., Senioﬁi;SP 30+30, StP 3x20;;;258;27.04.2024;https://shooting.cz/cs/souteze/2024-04-27-karlovarska-liga-sp-30-30-2-kolo-stp-3x20-1-kolo-lomnicka-sportka
27.04.2024;27.04.2024;Velká cena ChotÏboﬁe;ChotÏboﬁ;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky;LP 60;;;120;;https://shooting.cz/cs/souteze/2024-04-27-velka-cena-chotebore-1
27.04.2024;28.04.2024;âesk˘ pohár mládeûe 2024 1.kolo Manu‰ice;Manu‰ice;1. kategorie, Ïebﬁíãek, Sledovan˘, Stát;Dorostenci st., Dorostenky st.;VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60;âesk˘ stﬁeleck˘ svaz;;200;15.04.2024;https://shooting.cz/cs/souteze/2024-04-27-cesky-pohar-mladeze-2024-1-kolo-manusice
27.04.2024;28.04.2024;âesk˘ pohár mládeûe 2024 1.kolo Ostrava;Ostrava - Poruba;1. kategorie, Ïebﬁíãek, Sledovan˘, Stát;Dorostenci st., Dorostenky st.;VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60;âesk˘ stﬁeleck˘ svaz;;368;15.04.2024;https://shooting.cz/cs/souteze/2024-04-27-klon-cesky-pohar-mladeze-2024-1-kolo-ostrava
28.04.2024;28.04.2024;VC O⁄ ProsimÏﬁice;ProsimÏﬁice;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., dorostenci ml.;SM 3x20, SM 60, LM 3x20, LM 60;;;125;28.04.2024;https://shooting.cz/cs/souteze/2024-04-28-vc-ou-prosimerice
01.05.2024;01.05.2024;Prvomájová pistole;Nová paka;3. kategorie;MuÏi, Ïeny;VP 30 míﬁená;;;192;01.05.2024;https://shooting.cz/cs/souteze/2024-05-01-prvomajova-pistole
01.05.2024;05.05.2024;52nd Grand Prix of  Liberation 2024 PlzeÀ;PlzeÀ;1. kategorie, Ïebﬁíãek, Sledovan˘, SvÏt;MuÏi, Ïeny;VzPi 60, SP 30+30, LP 60, StP 3x20, RP 2x30, VP 30+30, VzPu 60 ISSF, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF;SdruÏení stﬁeleck˘ch klub˘ mÏsta PlznÏ;;;24.04.2024;https://shooting.cz/cs/souteze/2024-05-01-52nd-grand-prix-of-liberation-2024-plzen
01.05.2024;12.05.2024;ISSF World Cup Baku;Baku;repre-t˘my, Sledovan˘, SvÏt;MuÏi, Ïeny;VzPi 60, SP 30 míﬁená, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20, Skeet, Trap;;;;;https://shooting.cz/cs/souteze/2024-01-24-issf-world-cup-cairo-egypt-clone-400592
03.05.2024;05.05.2024;Oblastní stﬁelecká liga kule Karviná 2024 - 2. kolo + âPM 2024 - 1. kolo (RP 2x30);Karviná - Nové MÏsto;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.;SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15;;;373;;https://shooting.cz/cs/souteze/2024-05-03-oblastni-strelecka-liga-kule-karvina-2024-2-kolo-cpm-2024-1-kolo-rp-2x30-1
04.05.2024;04.05.2024;Karlovarská liga LP60 2.kolo;Lomnice u Sokolova;2. kategorie;MuÏi, Junioﬁi, Senioﬁi;LP 60;;;258;04.05.2024;https://shooting.cz/cs/souteze/2024-05-04-karlovarska-liga-lp60-2-kolo-1
04.05.2024;04.05.2024;Memoriál K. Trnky;Praha 9 HloubÏtín;3. kategorie;MuÏi, Ïeny;SP 30 míﬁená;;;121;02.05.2024;https://shooting.cz/cs/souteze/2025-04-19-memorial-trnky-1
04.05.2024;04.05.2024;Pohár osvobození mÏsta Hluãína;Hluãín;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Veteráni;SM 3x20, SM 60;;;34;02.05.2024;https://shooting.cz/cs/souteze/2024-05-04-pohar-osvobozeni-mesta-hlucina
04.05.2024;04.05.2024;Posázavské pﬁedovky;Krhanice;2. kategorie;;PePiC, PeRe, KﬁPiC, DPi, PePiV;;;117;;https://shooting.cz/cs/souteze/2024-05-04-posazavske-predovky-1
04.05.2024;04.05.2024;ätít mÏsta Tﬁe‰tÏ;Tﬁe‰ù;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., dorostenci ml.;SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF;;;39;04.05.2024;https://shooting.cz/cs/souteze/2024-05-04-stit-mesta-treste-1
04.05.2024;04.05.2024;VC dvor˘;Dvory;2. kategorie;;SM 60, LM 60;;;37;;https://shooting.cz/cs/souteze/2024-05-04-vc-dvoru
05.05.2024;05.05.2024;Pohár Ostroje Opava;Opava;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st.;SM 3x20, SM 60;;;4;02.05.2024;https://shooting.cz/cs/souteze/2024-05-05-pohar-ostroje-opava
05.05.2024;05.05.2024;Stﬁelecká liga Horní Cerekev 2024 - 1.kolo;Horní Cerekev;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., dorostenci ml.;SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF;;;252;05.05.2024;https://shooting.cz/cs/souteze/2024-05-05-strelecka-liga-horni-cerekev-2024-1-kolo-1
08.05.2024;08.05.2024;Jarní cena;ChotÏboﬁ;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., dorostenci ml.;SM 3x20, SM 60, LM 3x20, LM 60;;;120;;https://shooting.cz/cs/souteze/2024-05-08-jarni-cena-1
11.05.2024;11.05.2024;Boreck˘ pohár 2024 - 1.kolo;Borek;2. kategorie;MuÏi;SP 30+30;;;42;11.05.2024;https://shooting.cz/cs/souteze/2024-05-11-borecky-pohar-2024-1-kolo-1
11.05.2024;11.05.2024;Jarní Cena Chaloupek;Praha 9;2. kategorie;MuÏi, Ïeny, Junioﬁi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.;SM 3x20, SM 60, LM 3x20, LM 60;;;134;11.05.2024;https://shooting.cz/cs/souteze/2024-05-11-jarni-cena-chaloupek
11.05.2024;11.05.2024;Memoriál M. Hamerleho;Praha 9 HloubÏtín;2. kategorie;MuÏi, Ïeny;VP 15+15;;;121;09.05.2024;https://shooting.cz/cs/souteze/2024-04-20-aprilova-sportka-1
11.05.2024;11.05.2024;O pohár starosty obce Brni‰tÏ - 2. roãník;Brni‰tÏ ;2. kategorie;MuÏi, Ïeny, Dorostenci st., éáci 13 a 14 let, éáci do 12 let;VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vleûe;;;10;11.05.2024;https://shooting.cz/cs/souteze/2024-05-11-o-pohar-starosty-obce-brniste-2-rocnik-1
